policy,z_seed,question_index,longueur_arc_cumulee
adaptatif,39,13,7.756664
adaptatif,39,14,8.265352
adaptatif,39,15,8.894202
adaptatif,39,16,9.838251
adaptatif,39,17,10.381945
adaptatif,39,18,10.813096
adaptatif,39,19,11.092773
adaptatif,40,0,0.000000
adaptatif,40,1,0.870585
adaptatif,40,2,1.496332
adaptatif,40,3,2.329735
adaptatif,40,4,2.955483
adaptatif,40,5,3.788885
adaptatif,40,6,4.743113
adaptatif,40,7,5.285178
adaptatif,40,8,5.809074
adaptatif,40,9,6.431731
adaptatif,40,10,6.998031
adaptatif,40,11,7.376258
adaptatif,40,12,7.708040
adaptatif,40,13,8.143148
adaptatif,40,14,8.652994
adaptatif,40,15,9.281971
adaptatif,40,16,9.821609
adaptatif,40,17,10.169431
adaptatif,40,18,10.600583
adaptatif,40,19,10.790723
adaptatif,41,0,0.000000
adaptatif,41,1,0.870585
adaptatif,41,2,1.496332
adaptatif,41,3,2.111886
adaptatif,41,4,2.901821
adaptatif,41,5,3.400948
adaptatif,41,6,4.017887
adaptatif,41,7,4.480003
adaptatif,41,8,4.938647
adaptatif,41,9,5.901729
adaptatif,41,10,6.601961
adaptatif,41,11,6.937962
adaptatif,41,12,7.449532
adaptatif,41,13,8.078682
adaptatif,41,14,8.616714
adaptatif,41,15,8.962845
adaptatif,41,16,9.394198
adaptatif,41,17,10.205353
adaptatif,41,18,10.774298
adaptatif,41,19,11.155833
adaptatif,41,20,11.552146
adaptatif,41,21,12.095607
adaptatif,41,22,12.285184
adaptatif,42,0,0.000000
adaptatif,42,1,0.600697
adaptatif,42,2,1.390632
adaptatif,42,3,2.180567
adaptatif,42,4,2.679694
adaptatif,42,5,3.296633
adaptatif,42,6,4.260325
adaptatif,42,7,4.722441
adaptatif,42,8,5.150647
adaptatif,42,9,5.758303
adaptatif,42,10,6.351212
adaptatif,42,11,6.977197
adaptatif,42,12,7.942575
adaptatif,42,13,8.404313
adaptatif,42,14,9.030359
adaptatif,42,15,9.585915
adaptatif,42,16,9.951303
adaptatif,42,17,10.385104
adaptatif,42,18,10.893792
adaptatif,42,19,11.605464
adaptatif,42,20,11.884313
adaptatif,42,21,12.135468
adaptatif,42,22,12.445957
adaptatif,43,0,0.000000
adaptatif,43,1,0.600697
adaptatif,43,2,1.226444
adaptatif,43,3,1.841998
adaptatif,43,4,2.631933
adaptatif,43,5,3.131060
adaptatif,43,6,3.747999
adaptatif,43,7,4.715061
adaptatif,43,8,5.173704
adaptatif,43,9,5.839089
adaptatif,43,10,6.278001
adaptatif,43,11,7.237712
adaptatif,43,12,7.866862
adaptatif,43,13,8.404894
adaptatif,43,14,8.804337
adaptatif,43,15,9.150468
adaptatif,43,16,9.651727
adaptatif,43,17,10.351767
adaptatif,43,18,11.125913
adaptatif,43,19,11.673234
adaptatif,43,20,12.029343
adaptatif,43,21,12.285330
adaptatif,43,22,13.015993
adaptatif,43,23,13.536662
adaptatif,43,24,14.418188
adaptatif,43,25,14.634883
adaptatif,43,26,14.923236
adaptatif,43,27,15.398922
adaptatif,43,28,15.538460
adaptatif,43,29,15.612713
adaptatif,44,0,0.000000
adaptatif,44,1,0.600697
adaptatif,44,2,1.226444
adaptatif,44,3,1.841998
adaptatif,44,4,2.631933
adaptatif,44,5,3.131060
adaptatif,44,6,3.747999
adaptatif,44,7,4.210115
adaptatif,44,8,4.668759
adaptatif,44,9,5.107671
adaptatif,44,10,6.067381
adaptatif,44,11,6.783597
adaptatif,44,12,7.292284
adaptatif,44,13,8.003957
adaptatif,44,14,8.813154
adaptatif,44,15,9.380984
adaptatif,44,16,9.761117
adaptatif,44,17,10.020298
adaptatif,44,18,10.783706
adaptatif,44,19,11.324558
adaptatif,44,20,11.673668
adaptatif,44,21,12.073141
adaptatif,44,22,12.621164
adaptatif,44,23,13.018839
adaptatif,44,24,13.599951
adaptatif,44,25,13.739489
adaptatif,44,26,13.815397
adaptatif,44,27,14.083184
adaptatif,45,0,0.000000
adaptatif,45,1,0.600697
adaptatif,45,2,1.226444
adaptatif,45,3,2.059847
adaptatif,45,4,2.685594
adaptatif,45,5,3.301149
adaptatif,45,6,3.825044
adaptatif,45,7,4.283688
adaptatif,45,8,4.722600
adaptatif,45,9,5.150806
adaptatif,45,10,5.482588
adaptatif,45,11,5.913739
adaptatif,45,12,6.172919
adaptatif,45,13,6.426463
adaptatif,45,14,6.677619
adaptatif,46,0,0.000000
adaptatif,46,1,0.870585
adaptatif,46,2,1.496332
adaptatif,46,3,2.111886
adaptatif,46,4,2.737634
adaptatif,46,5,3.571037
adaptatif,46,6,4.094932
adaptatif,46,7,5.061691
adaptatif,46,8,5.568755
adaptatif,46,9,6.268987
adaptatif,46,10,6.604988
adaptatif,46,11,6.936770
adaptatif,46,12,7.448340
adaptatif,46,13,8.077490
adaptatif,46,14,8.615522
adaptatif,46,15,8.961653
adaptatif,46,16,9.470184
adaptatif,46,17,10.099017
adaptatif,46,18,10.639869
adaptatif,46,19,10.988979
adaptatif,46,20,11.297294
adaptatif,47,0,0.000000
adaptatif,47,1,0.600697
adaptatif,47,2,1.226444
adaptatif,47,3,1.841998
